index,country_code,litres,life_expectancy,country_name,longitude,latitude
0,EST,15.110999999999999,77.23756097560975,Estonia,24.7586,59.4392
1,LTU,13.628,74.55634146341467,Lithuania,25.2799,54.6896
2,CZE,12.723,78.52146341463416,Czechia,14.4205,50.0878
4,AUT,11.9,81.31902439024392,Austria,16.3798,48.2201
5,FRA,11.865,82.3658536585366,France,2.35097,48.8566
6,BLR,11.629999999999999,72.83487804878051,Belarus,27.5766,53.9678
7,LUX,11.370000000000001,81.90487804878049,Luxembourg,6.1296,49.61
8,LVA,11.197,74.28048780487805,Latvia,24.1048,56.9465
9,IRL,11.113000000000001,81.48048780487805,Ireland,-6.26749,53.3441
10,DEU,11.07,80.73536585365854,Germany,13.4115,52.5235
11,HUN,10.944999999999999,75.52926829268293,Hungary,19.0408,47.4984
12,BGR,10.686,74.56341463414635,Bulgaria,23.3238,42.7105
13,AND,10.635,0.0,Andorra,1.5218,42.5075
14,SVN,10.55,80.68048780487804,Slovenia,14.5044,46.0546
15,POL,10.478,77.28536585365853,Poland,21.02,52.26
16,PRT,10.341999999999999,80.8387804878049,Portugal,-9.13552,38.7072
17,SVK,10.095,76.62317073170732,Slovak Republic,17.1073,48.1484
18,HRV,10.08,77.44000000000003,Croatia,15.9614,45.8069
19,ROU,9.946000000000002,74.86512195121952,Romania,26.0979,44.4479
20,CYP,9.927,80.70750000000001,Cyprus,33.3736,35.1676
21,BEL,9.885,81.05439024390243,Belgium,4.36761,50.8371
22,AUS,9.873000000000001,82.30829268292683,Australia,149.129,-35.282
23,GBR,9.718,81.03975609756097,United Kingdom,-0.126236,51.5002
24,CHE,9.587,83.13439024390247,Switzerland,7.44821,46.948
25,ESP,9.581,82.95439024390245,Spain,-3.70327,40.4167
26,DNK,9.565000000000001,80.50146341463415,Denmark,12.5681,55.6763
27,LCA,9.493,73.0324,St. Lucia,-60.9832,14
28,ATG,9.446000000000002,77.825,Antigua and Barbuda,-61.8456,17.1175
29,BRB,9.443000000000001,76.52040000000001,Barbados,-59.6105,13.0935
30,MNE,9.346,76.40048780487804,Montenegro,19.2595,42.4602
31,BHS,9.293000000000001,72.9722,"Bahamas, The",-77.339,25.0661
32,NZL,9.139,81.3869268292683,New Zealand,174.776,-41.2865
33,FIN,8.857,81.13829268292685,Finland,24.9525,60.1608
34,RUS,8.827,71.09519512195122,Russian Federation,37.6176,55.7558
35,USA,8.808,78.67024390243903,United States,-77.032,38.8895
36,NLD,8.572,81.4780487804878,Netherlands,4.89095,52.3738
37,KNA,8.553,0.0,St. Kitts and Nevis,-62.7309,17.3
38,JPN,8.529,83.58956097560976,Japan,139.77,35.67
39,SYC,8.437000000000001,73.6339024390244,Seychelles,55.4466,-4.6309
40,KOR,8.254,81.7278048780488,"Korea, Rep.",126.957,37.5323
41,CAN,8.16,81.76902439024391,Canada,-75.6919,45.4215
42,ARG,8.11,76.57419999999999,Argentina,-58.4173,-34.6118
43,GRD,8.100999999999999,74.9648,Grenada,-61.7449,12.0653
44,DMA,7.9319999999999995,0.0,Dominica,-61.39,15.2976
45,GNQ,7.927,59.8212,Equatorial Guinea,8.7741,3.7523
47,SRB,7.831,75.25731707317075,Serbia,20.4656,44.8024
48,CHL,7.706,79.60799999999999,Chile,-70.6475,-33.475
49,MNG,7.695,69.2985,Mongolia,106.937,47.9129
50,UGA,7.667,60.4562,Uganda,32.5729,0.314269
51,MDA,7.563,69.6922,Moldova,28.8497,47.0167
52,GAB,7.526000000000001,65.264,Gabon,9.45162,0.38832
53,MLT,7.441,81.86878048780487,Malta,14.5189,35.9042
54,TZA,7.358,63.9577,Tanzania,35.7382,-6.17486
55,ITA,7.339,82.78219512195122,Italy,12.4823,41.8955
56,VCT,7.311,74.1686,St. Vincent and the Grenadines,-61.2653,13.2035
57,SWZ,7.265000000000001,53.87179999999999,Eswatini,31.4659,-26.5225
58,ISL,7.26,82.54536585365852,Iceland,-21.8952,64.1353
59,ZAF,7.208,63.325700000000005,South Africa,28.1871,-25.746
60,SWE,7.206,82.1758536585366,Sweden,18.0645,59.3327
61,GEO,7.187,72.9904,Georgia,44.793,41.71
62,GRC,7.084999999999999,81.15634146341463,Greece,23.7166,37.9792
63,LAO,7.08,66.3186,Lao PDR,102.177,18.5826
64,AGO,6.961,60.0311,Angola,13.242,-8.81155
65,UKR,6.938,71.22217073170734,Ukraine,30.5038,50.4536
